PosX	PosY	PosZ		ForceX	ForceY	ForceZ		ThetaX	ThetaY	ThetaZ		TorqueX	TorqueY	TorqueZ		EstTorqueX	EstTorqueY	EstTorqueZ		ResidTorqueX	ResidTorqueY	ResidTorqueZ
3.5	0.4	0		0	0	180		-0.62	-11.69	-0.56		72	-630	0		58.21	-578.64	0		13.79	-51.36	0
3.5	0.4	0		0	0	180		-0.75	-12.81	-0.5		72	-630	0		68.13	-633.67	0		3.87	3.67	0
3.5	0.4	0		0	0	200		-1.19	-15.31	-0.69		80	-700	0		94.17	-760.58	0		-14.17	60.58	0
3.5	0.4	0		0	0	200		-0.88	-14	-0.62		80	-700	0		76.21	-693.65	0		3.79	-6.35	0
3.5	0.4	0		0	0	200		-0.88	-13.88	-0.5		80	-700	0		77.19	-686.3	0		2.81	-13.7	0
3.5	0.1	0		0	0	20		0.06	-1.25	-0.06		2	-70	0		0.11	-60.87	0		1.89	-9.13	0
3.5	0.1	0		0	0	20		0.06	-1.06	0.12		2	-70	0		1.57	-49.84	0		0.43	-20.16	0
3.5	0.1	0		0	0	20		0.06	-1.12	0		2	-70	0		0.41	-54.16	0		1.59	-15.84	0
3.5	0.1	0		0	0	40		0.06	-2.38	-0.06		4	-140	0		3.46	-115.53	0		0.54	-24.47	0
3.5	0.1	0		0	0	40		0.06	-2.19	-0.06		4	-140	0		2.9	-106.42	0		1.1	-33.58	0
3.5	0.1	0		0	0	40		0.12	-2.19	-0.12		4	-140	0		-0.72	-106.55	0		4.72	-33.45	0
3.5	0.1	0		0	0	60		0.12	-3.25	-0.12		6	-210	0		2.45	-158.17	0		3.55	-51.83	0
3.5	0.1	0		0	0	60		0.12	-3.56	-0.06		6	-210	0		4.06	-172.72	0		1.94	-37.28	0
3.5	0.1	0		0	0	60		0.12	-3.44	-0.12		6	-210	0		3.01	-167.28	0		2.99	-42.72	0
3.5	0.1	0		0	0	80		0.25	-4.88	-0.19		8	-280	0		0.74	-236.75	0		7.26	-43.25	0
3.5	0.1	0		0	0	80		0.19	-4.88	-0.12		8	-280	0		4.35	-236.62	0		3.65	-43.38	0
3.5	0.1	0		0	0	80		0.19	-4.94	-0.12		8	-280	0		4.54	-239.66	0		3.46	-40.34	0
3.5	0.1	0		0	0	100		0.19	-5.88	-0.19		10	-350	0		6.66	-285.85	0		3.34	-64.15	0
3.5	0.1	0		0	0	100		0.12	-5.56	-0.19		10	-350	0		8.67	-271.17	0		1.33	-78.83	0
